user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
norway|OSL_S_KT125,Weekday,21,15,1,0.1578,0.8496,true,-0.2117,0.1357,false,
norway|OSL_S_KT125,Weekday,22,18,1,0.1493,0.8182,true,0.2037,0.2074,false,
norway|OSL_S_KT125,Weekday,23,28,1,0.1151,0.853,true,0.0288,0.2409,false,
norway|OSL_S_KT125,Weekday,24,26,1,0.1347,0.7345,true,0.0881,-0.1111,false,
norway|TRO_R_UT7-2,Weekday,17,15,1,0.3963,0.0181,false,0.1104,-0.1179,false,0.1189
norway|TRO_R_UT7-2,Weekday,20,15,1,0.2196,0.4653,true,-0.4141,-0.1716,true,
norway|TRO_R_UT7-2,Weekday,21,30,1,0.2389,0.0659,true,0.0309,-0.3531,true,
korea|KR_U89,Weekday,6,35,1,0.4065,0.0,false,-0.0295,-0.3603,true,
korea|KR_U89,Weekday,7,29,1,0.4263,0.0001,false,-0.156,-0.2484,false,-0.1183
norway|BAR_Plass113,Weekday,17,17,1,0.1665,0.7343,true,0.7233,0.3407,true,
norway|BAR_Plass113,Weekday,18,17,1,0.2553,0.2185,true,0.463,0.6863,true,
norway|BAR_Plass113,Weekday,20,17,1,0.1805,0.6383,true,0.049,0.1103,false,
norway|BAR_Plass113,Weekday,21,44,1,0.1281,0.4681,true,0.0601,-0.0711,false,
norway|BAR_Plass113,Weekday,22,46,1,0.1449,0.2917,true,-0.1452,-0.2464,false,
norway|OSL_T_35,Weekday,15,21,1,0.2098,0.3148,true,-0.1958,-0.0533,false,
norway|OSL_T_35,Weekday,16,36,1,0.2347,0.0385,false,-0.1531,-0.1904,false,
norway|OSL_T_35,Weekday,17,47,1,0.3191,0.0001,false,0.2028,0.0396,false,
norway|ASK_Plass25,Weekday,17,19,1,0.1634,0.6916,true,-0.021,0.3975,true,
norway|ASK_Plass25,Weekday,18,22,1,0.1742,0.5179,true,0.3655,0.4816,true,
norway|ASK_Plass25,Weekday,19,38,1,0.1294,0.5509,true,0.4821,0.1095,true,
norway|ASK_Plass25,Weekday,20,28,1,0.1806,0.3221,true,-0.1352,-0.1005,false,
norway|ASK_Plass25,Weekday,21,16,1,0.302,0.1085,true,-0.1575,-0.1471,false,
norway|ASK_Plass25,Weekday,23,15,1,0.2205,0.4602,true,-0.0772,-0.0626,false,
pecan|PS_1642,Weekday,8,23,1,0.1541,0.6472,true,0.385,0.1642,true,
pecan|PS_1642,Weekday,16,22,1,0.1758,0.506,true,-0.4051,-0.4003,true,
pecan|PS_1642,Weekday,17,51,1,0.2913,0.0004,false,-0.1175,-0.1823,false,
pecan|PS_1642,Weekday,18,50,1,0.2482,0.0044,false,-0.1361,-0.2697,false,
pecan|PS_1642,Weekday,21,22,1,0.1762,0.5033,true,-0.3709,-0.511,true,
pecan|PS_1642,Weekday,22,16,1,0.2221,0.4099,true,-0.2664,-0.3549,true,
norway|TRO_R_Bl2-1,Weekday,16,20,1,0.2195,0.2913,true,0.3877,0.4391,true,
norway|TRO_R_Bl2-1,Weekday,19,17,1,0.2208,0.3794,true,0.3483,0.3799,true,
norway|TRO_R_Bl2-1,Weekday,20,21,1,0.1806,0.5012,true,0.2073,0.2701,false,
norway|TRO_R_Bl2-1,Weekday,21,23,1,0.0984,0.9795,true,-0.0117,0.0879,false,
norway|TRO_R_Bl2-1,Weekday,22,17,1,0.1084,0.9884,true,-0.1651,-0.2083,false,
norway|TRO_R_Bl2-1,Weekday,23,15,1,0.1944,0.6232,true,0.0615,-0.0036,false,
norway|OSL_T_13,Weekday,23,25,1,0.2066,0.2375,true,0.0203,0.3362,true,
norway|OSL_T_13,Weekday,24,21,1,0.1445,0.7741,true,-0.3382,0.0364,true,
norway|OSL_S_KT17,Weekend,23,18,1,0.1983,0.4799,true,0.297,0.4407,true,
norway|ASK_Plass67,Weekend,12,24,1,0.1505,0.6503,true,-0.0619,0.0844,false,
norway|OSL_S_KT17,Weekday,23,41,1,0.1265,0.5306,true,0.0439,0.2977,false,
